id,Date,Weight,Waist,Neck,Chest,Height,Hip
121,2025-12-29,71.4,81.3,36.8,,175,
122,2026-01-20,73.6,84.5,36.8,96.5,175,99.7
123,2026-02-18,74.7,85.1,36.8,,175,
124,2026-02-22,76,86.4,36.8,,175,
125,2026-03-01,77.1,87.6,37.5,98.4,175,101.6
126,2026-03-08,78,88.9,37.5,,175,
127,2026-03-14,77.7,88.3,37.5,,175,
128,2026-03-23,78.8,89.5,37.5,99.1,175,104.1
129,2026-03-28,80.1,90.8,38.1,99.7,175,103.5
130,2026-04-04,80.5,89.5,38.1,99.7,175,103.5
131,2026-04-11,81.4,90.2,38.7,100.3,175,104.1
132,2026-04-18,82.3,90.8,38.7,101,175,104.8
133,2026-04-25,82.2,90.2,38.7,100.3,175,105.4
134,2026-05-02,82.8,92.1,38.7,101.6,175,105.4
135,2026-05-09,83.2,91.4,38.7,102.2,175,
136,2026-05-16,84,93.3,38.7,101.6,175,105.4
137,2026-05-23,85,94,38.7,102.2,175,104.1
138,2026-05-30,82.4,92.7,38.7,100.3,175,105.4
139,2026-06-05,84.5,96.5,39.4,103.5,175,106.7
140,2026-06-07,85.1,95.3,39.4,102.9,175,
