id,Date,Weight,Waist,Neck,Chest,Height,Hip
58,2024-08-12,85.8,99.1,38.7,102.2,175,108.6
59,2024-08-25,84.2,96.5,38.7,,175,
60,2024-09-01,83.6,96.5,38.7,,175,
61,2024-09-08,82.9,95.9,38.7,,175,
62,2024-09-14,81.3,94,38.7,,175,
63,2024-09-21,81.4,94,38.7,,175,
64,2024-09-29,79.9,92.7,38.1,,175,
65,2024-10-05,79.3,92.1,38.1,,175,
66,2024-10-12,78.5,92.1,38.1,,175,
67,2024-10-19,78.2,92.1,38.1,,175,
68,2024-10-26,76.9,90.2,37.5,98.4,175,101.6
69,2024-11-03,76.9,89.5,37.5,,175,
70,2024-11-09,76.3,88.9,37.5,,175,
71,2024-11-16,75.1,87,37.5,,175,
72,2024-11-24,74.7,87,37.5,,175,
73,2024-11-30,73.9,86.4,37.5,,175,
74,2024-12-07,73,83.8,37.5,,175,
75,2024-12-14,72.8,83.8,37.5,,175,
76,2024-12-21,72.2,83.2,37.5,,175,
77,2024-12-28,72.4,83.2,36.8,,175,
78,2025-01-04,72.1,83.2,36.8,92.7,175,97.2
79,2025-01-12,70.3,81.3,36.8,,175,
80,2025-01-18,70.1,80.6,36.8,92.7,175,95.3
